group_id,worker_id,prod_cd,c_url,n_url,e_url
37,1,,https://www.coupang.com/vp/products/4941119483?itemId=6509969936&vendorItemId=73804144021&sourceType=CAMPAIGN&campaignId=1925&categoryId=0,https://smartstore.naver.com/main/products/5526201009,https://www.11st.co.kr/products/7926007759?&trTypeCd=21&trCtgrNo=1001693
37,1,,https://www.coupang.com/vp/products/8544047524?itemId=24775761468&vendorItemId=91811741415&sourceType=CAMPAIGN&campaignId=1925&categoryId=0,https://smartstore.naver.com/main/products/4989019367,https://www.11st.co.kr/products/7997879929?&trTypeCd=21&trCtgrNo=1001693
37,1,,https://www.coupang.com/vp/products/8564121666?itemId=24804257104&vendorItemId=91811915756&sourceType=CAMPAIGN&campaignId=1925&categoryId=0,https://smartstore.naver.com/main/products/3447414891,https://www.11st.co.kr/products/7997880000?&trTypeCd=21&trCtgrNo=1001693
37,1,,https://www.coupang.com/vp/products/8483743461?itemId=24552717606&vendorItemId=91565078146&sourceType=CAMPAIGN&campaignId=1925&categoryId=0,https://smartstore.naver.com/main/products/4474158533,https://www.11st.co.kr/products/7932758577?&trTypeCd=21&trCtgrNo=1001693
37,1,,https://www.coupang.com/vp/products/8483588234?itemId=24551930141&vendorItemId=91564270574&sourceType=CAMPAIGN&campaignId=1925&categoryId=0,https://smartstore.naver.com/main/products/4808792121,https://www.11st.co.kr/products/7932758601?&trTypeCd=21&trCtgrNo=1001693
37,1,,https://www.coupang.com/vp/products/6306565842?itemId=13066964402&vendorItemId=80329299485&sourceType=CAMPAIGN&campaignId=1925&categoryId=0,https://smartstore.naver.com/main/products/9315819108,https://www.11st.co.kr/products/7788019616?&trTypeCd=21&trCtgrNo=1001693
37,1,,https://www.coupang.com/vp/products/137391567?itemId=402409546&vendorItemId=88552322647&sourceType=CAMPAIGN&campaignId=1925&categoryId=0,https://smartstore.naver.com/main/products/3110767266,https://www.11st.co.kr/products/7939724242?&trTypeCd=21&trCtgrNo=1001693
37,1,,https://www.coupang.com/vp/products/6396591736?itemId=13660776260&vendorItemId=80329308161&sourceType=CAMPAIGN&campaignId=1925&categoryId=0,https://smartstore.naver.com/main/products/4879763338,https://www.11st.co.kr/products/4429366593?&trTypeCd=21&trCtgrNo=1001693
37,1,,https://www.coupang.com/vp/products/42110611?itemId=152947403&vendorItemId=3353528134&sourceType=CAMPAIGN&campaignId=1925&categoryId=0,https://smartstore.naver.com/main/products/4893311153,https://www.11st.co.kr/products/7972575991?&trTypeCd=21&trCtgrNo=1001693
37,1,,https://www.coupang.com/vp/products/197748886?itemId=570349842&vendorItemId=84261006253&sourceType=CAMPAIGN&campaignId=1925&categoryId=0,https://smartstore.naver.com/main/products/10155242073,https://www.11st.co.kr/products/3302809327?&trTypeCd=21&trCtgrNo=1001693
37,1,,https://www.coupang.com/vp/products/4941119478?itemId=6509969907&vendorItemId=73804144015&sourceType=CAMPAIGN&campaignId=1925&categoryId=0,https://smartstore.naver.com/main/products/5406235387,https://www.11st.co.kr/products/4693879064?&trTypeCd=21&trCtgrNo=1001693
37,1,,https://www.coupang.com/vp/products/8597887245?itemId=24930501612&vendorItemId=76235860989&sourceType=CAMPAIGN&campaignId=1925&categoryId=0,https://smartstore.naver.com/main/products/5854602269,https://www.11st.co.kr/products/3289086213?&trTypeCd=21&trCtgrNo=1001693
37,1,,https://www.coupang.com/vp/products/8597842311?itemId=24930336027&vendorItemId=88423728905&sourceType=CAMPAIGN&campaignId=1925&categoryId=0,https://smartstore.naver.com/main/products/2738711298,https://www.11st.co.kr/products/6636292349?&trTypeCd=21&trCtgrNo=1001693
37,1,,https://www.coupang.com/vp/products/116178449?itemId=348013156&vendorItemId=3123123987&sourceType=CAMPAIGN&campaignId=1925&categoryId=0,https://smartstore.naver.com/main/products/5686140664,https://www.11st.co.kr/products/6607109486?&trTypeCd=21&trCtgrNo=1001693
37,1,,https://www.coupang.com/vp/products/42110592?itemId=152947356&vendorItemId=88552321112&sourceType=CAMPAIGN&campaignId=1925&categoryId=0,https://smartstore.naver.com/main/products/8319296175,https://www.11st.co.kr/products/6626291219?&trTypeCd=21&trCtgrNo=1001693
37,1,,https://www.coupang.com/vp/products/7503488447?itemId=19646047981&vendorItemId=91564330828&sourceType=CAMPAIGN&campaignId=1925&categoryId=0,https://smartstore.naver.com/main/products/5540243894,https://www.11st.co.kr/products/6624894583?&trTypeCd=21&trCtgrNo=1001693
37,1,,https://www.coupang.com/vp/products/7821190716?itemId=21244878843&vendorItemId=89610746490&sourceType=CAMPAIGN&campaignId=1925&categoryId=0,https://smartstore.naver.com/main/products/2011095448,https://www.11st.co.kr/products/5345703696?&trTypeCd=21&trCtgrNo=1001693
37,1,,https://www.coupang.com/vp/products/2211345649?itemId=3764647329&vendorItemId=71749734972&sourceType=CAMPAIGN&campaignId=1925&categoryId=0,https://smartstore.naver.com/main/products/2738894358,https://www.11st.co.kr/products/6871487056?&trTypeCd=21&trCtgrNo=1001693
37,1,,https://www.coupang.com/vp/products/4889921608?itemId=6372504023&vendorItemId=88556166409&sourceType=CAMPAIGN&campaignId=1925&categoryId=0,https://smartstore.naver.com/main/products/10481529363,https://www.11st.co.kr/products/5345731509?&trTypeCd=21&trCtgrNo=1001693
37,1,,https://www.coupang.com/vp/products/1403329496?itemId=2438167161&vendorItemId=74501252460&sourceType=CAMPAIGN&campaignId=1925&categoryId=0,https://smartstore.naver.com/main/products/3678818504,https://www.11st.co.kr/products/6626146138?&trTypeCd=21&trCtgrNo=1001693
37,1,,https://www.coupang.com/vp/products/7821190679?itemId=21244878728&vendorItemId=88305533765&sourceType=CAMPAIGN&campaignId=1925&categoryId=0,https://smartstore.naver.com/main/products/6341586483,https://www.11st.co.kr/products/6603254229?&trTypeCd=21&trCtgrNo=1001693
37,1,,https://www.coupang.com/vp/products/8568869360?itemId=24823030247&vendorItemId=91830369334&sourceType=CAMPAIGN&campaignId=1925&categoryId=0,https://smartstore.naver.com/main/products/723823307,https://www.11st.co.kr/products/4693879053?&trTypeCd=21&trCtgrNo=1001693
37,1,,https://www.coupang.com/vp/products/8539549562?itemId=24723013926&vendorItemId=91732214501&sourceType=CAMPAIGN&campaignId=1925&categoryId=0,https://smartstore.naver.com/main/products/10513249799,https://www.11st.co.kr/products/6044075539?&trTypeCd=21&trCtgrNo=1001693
37,1,,https://www.coupang.com/vp/products/4941119204?itemId=6509968725&vendorItemId=73804143759&sourceType=CAMPAIGN&campaignId=1925&categoryId=0,https://smartstore.naver.com/main/products/4971215493,https://www.11st.co.kr/products/6168128570?&trTypeCd=21&trCtgrNo=1001693
37,1,,https://www.coupang.com/vp/products/1392759706?itemId=2428197976&vendorItemId=88556247985&sourceType=CAMPAIGN&campaignId=1925&categoryId=0,https://smartstore.naver.com/main/products/6626648603,https://www.11st.co.kr/products/7290542485?&trTypeCd=21&trCtgrNo=1001693
37,1,,https://www.coupang.com/vp/products/7077224716?itemId=17594418301&vendorItemId=84760802459&sourceType=CAMPAIGN&campaignId=1925&categoryId=0,https://smartstore.naver.com/main/products/4580522720,https://www.11st.co.kr/products/7176078667?&trTypeCd=21&trCtgrNo=1001693
37,1,,https://www.coupang.com/vp/products/5341697933?itemId=7832220172&vendorItemId=90142087921&sourceType=CAMPAIGN&campaignId=20336&categoryId=0,https://smartstore.naver.com/main/products/3468559543,https://www.11st.co.kr/products/7172091386?&trTypeCd=21&trCtgrNo=1001693
37,1,,https://www.coupang.com/vp/products/2374241717?itemId=4135265218&vendorItemId=72119179467&sourceType=CAMPAIGN&campaignId=20336&categoryId=0,https://smartstore.naver.com/main/products/4874473487,https://www.11st.co.kr/products/6578387364?&trTypeCd=21&trCtgrNo=1001693
37,1,,https://www.coupang.com/vp/products/42131971?itemId=153000592&vendorItemId=76565864582&sourceType=CAMPAIGN&campaignId=20336&categoryId=0,https://smartstore.naver.com/main/products/2032583648,https://www.11st.co.kr/products/7635571095?&trTypeCd=21&trCtgrNo=1001728
37,1,,https://www.coupang.com/vp/products/55003?itemId=126486&vendorItemId=75034044519&sourceType=CAMPAIGN&campaignId=20336&categoryId=0,https://smartstore.naver.com/main/products/4589387995,https://www.11st.co.kr/products/7825833780?&trTypeCd=21&trCtgrNo=1001728
37,1,,https://www.coupang.com/vp/products/18828283?itemId=75613534&vendorItemId=85553326581&sourceType=CAMPAIGN&campaignId=20336&categoryId=0,https://smartstore.naver.com/main/products/5607425947,https://www.11st.co.kr/products/5907399965?&trTypeCd=21&trCtgrNo=1001728
37,1,,https://www.coupang.com/vp/products/7637829196?itemId=20285850271&vendorItemId=91441914027&sourceType=CAMPAIGN&campaignId=20336&categoryId=0,https://smartstore.naver.com/main/products/8745648555,https://www.11st.co.kr/products/7971884454?&trTypeCd=21&trCtgrNo=1001728
37,1,,https://www.coupang.com/vp/products/54987?itemId=126470&vendorItemId=3320558070&sourceType=CAMPAIGN&campaignId=20336&categoryId=0,https://smartstore.naver.com/main/products/5172307183,https://www.11st.co.kr/products/7366644737?&trTypeCd=21&trCtgrNo=1001728
37,1,,https://www.coupang.com/vp/products/181205969?itemId=518772590&vendorItemId=5212977584&sourceType=CAMPAIGN&campaignId=20336&categoryId=0,https://smartstore.naver.com/main/products/4652092821,https://www.11st.co.kr/products/7938319365?&trTypeCd=21&trCtgrNo=1001728
37,1,,https://www.coupang.com/vp/products/7295084244?itemId=18654249076&vendorItemId=87489583248&sourceType=CAMPAIGN&campaignId=20336&categoryId=0,https://smartstore.naver.com/main/products/9046388648,https://www.11st.co.kr/products/7946672518?&trTypeCd=21&trCtgrNo=1001728
37,1,,https://www.coupang.com/vp/products/2374232185?itemId=4135234283&vendorItemId=72119149149&sourceType=CAMPAIGN&campaignId=20336&categoryId=0,https://smartstore.naver.com/main/products/6421768812,https://www.11st.co.kr/products/7847664767?&trTypeCd=21&trCtgrNo=1001728
37,1,,https://www.coupang.com/vp/products/181242145?itemId=518920708&vendorItemId=4340385140&sourceType=CAMPAIGN&campaignId=20336&categoryId=0,https://smartstore.naver.com/main/products/8506507660,https://www.11st.co.kr/products/7847664901?&trTypeCd=21&trCtgrNo=1001728
37,1,,https://www.coupang.com/vp/products/1639402798?itemId=2795714814&vendorItemId=90598042663&sourceType=CAMPAIGN&campaignId=20336&categoryId=0,https://smartstore.naver.com/main/products/5829003730,https://www.11st.co.kr/products/7987718180?&trTypeCd=21&trCtgrNo=1001728
37,1,,https://www.coupang.com/vp/products/228624781?itemId=725006443&vendorItemId=3036080325&sourceType=CAMPAIGN&campaignId=20336&categoryId=0,https://smartstore.naver.com/main/products/6273147438,https://www.11st.co.kr/products/7834002837?&trTypeCd=21&trCtgrNo=1001728
37,1,,https://www.coupang.com/vp/products/162370579?itemId=466495182&vendorItemId=4163055224&sourceType=CAMPAIGN&campaignId=20336&categoryId=0,https://smartstore.naver.com/main/products/11259229628,https://www.11st.co.kr/products/7910022553?&trTypeCd=21&trCtgrNo=1001728
